City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
San Juan del Parana,0,PY,1970-01-01 00:00:01.556121600,62,-27.3,-55.97,30.0,4.1
Cape Town,20,ZA,1970-01-01 00:00:01.556125376,72,-33.93,18.42,20.56,3.6
Ushuaia,20,AR,1970-01-01 00:00:01.556121600,66,-54.81,-68.31,9.0,10.8
Lahaina,40,US,1970-01-01 00:00:01.556125240,78,20.87,-156.68,23.0,5.1
Albany,75,US,1970-01-01 00:00:01.556125443,57,42.65,-73.75,13.33,6.7
Bennington,90,US,1970-01-01 00:00:01.556125443,65,42.88,-73.2,13.33,3.1
Kaitangata,100,NZ,1970-01-01 00:00:01.556125621,87,-46.28,169.85,8.33,0.89
Avarua,76,CK,1970-01-01 00:00:01.556123400,73,-21.21,-159.78,25.0,5.1
Broken Hill,90,AU,1970-01-01 00:00:01.556121600,45,-31.97,141.45,18.0,8.2
Chapais,90,CA,1970-01-01 00:00:01.556123580,80,49.78,-74.86,2.0,6.2
Saskylakh,9,RU,1970-01-01 00:00:01.556125654,87,71.97,114.09,-20.15,5.52
Boquete,20,PA,1970-01-01 00:00:01.556121600,58,8.78,-82.43,31.0,2.1
Mahebourg,40,MU,1970-01-01 00:00:01.556125441,83,-20.41,57.7,26.0,2.1
Rikitea,72,PF,1970-01-01 00:00:01.556125631,84,-23.12,-134.97,26.05,4.77
Lismore,90,AU,1970-01-01 00:00:01.556125366,93,-28.81,153.28,19.0,0.5
Faanui,100,PF,1970-01-01 00:00:01.556125523,78,-16.48,-151.75,28.55,6.53
Davenda,0,RU,1970-01-01 00:00:01.556125655,57,53.56,119.32,-4.85,0.31
Komsomolskiy,0,RU,1970-01-01 00:00:01.556125655,96,67.55,63.78,-14.35,1.87
Hereford,20,GB,1970-01-01 00:00:01.556125624,76,52.06,-2.72,13.33,3.1
Jamestown,0,AU,1970-01-01 00:00:01.556125628,90,-33.21,138.6,11.75,1.31
Hermanus,0,ZA,1970-01-01 00:00:01.556125297,88,-34.42,19.24,20.56,1.34
Kawalu,100,ID,1970-01-01 00:00:01.556125657,96,-7.38,108.21,21.95,1.07
Bluff,98,AU,1970-01-01 00:00:01.556125657,84,-23.58,149.07,20.05,7.63
Mount Gambier,40,AU,1970-01-01 00:00:01.556121600,93,-37.83,140.78,10.0,3.6
Vaini,49,IN,1970-01-01 00:00:01.556125632,68,15.34,74.49,27.35,1.64
Qaanaaq,100,GL,1970-01-01 00:00:01.556125630,85,77.48,-69.36,-13.65,2.15
Nouadhibou,0,MR,1970-01-01 00:00:01.556121600,57,20.93,-17.03,24.0,7.7
Iraucuba,99,BR,1970-01-01 00:00:01.556125658,87,-3.75,-39.78,28.05,2.21
Padang,100,ID,1970-01-01 00:00:01.556125659,74,-0.92,100.36,29.05,6.0
Arlit,0,NE,1970-01-01 00:00:01.556125659,15,18.74,7.39,34.25,5.37
San Jeronimo,90,PE,1970-01-01 00:00:01.556121600,57,-13.65,-73.37,11.0,5.11
Hailar,0,CN,1970-01-01 00:00:01.556125661,25,49.2,119.7,0.75,1.83
Dunedin,94,NZ,1970-01-01 00:00:01.556125192,79,-45.87,170.5,12.22,4.47
Kapaa,75,US,1970-01-01 00:00:01.556125413,69,22.08,-159.32,24.0,6.7
New Norfolk,75,AU,1970-01-01 00:00:01.556125334,44,-42.78,147.06,15.0,4.6
Banda Aceh,94,ID,1970-01-01 00:00:01.556125598,77,5.56,95.32,29.55,4.06
Mataura,100,NZ,1970-01-01 00:00:01.556125206,95,-46.19,168.86,10.0,1.81
Talaya,0,RU,1970-01-01 00:00:01.556125233,42,55.79,84.89,7.0,3.0
Nome,90,US,1970-01-01 00:00:01.556125454,69,30.04,-94.42,25.56,4.1
Pevek,0,RU,1970-01-01 00:00:01.556125663,63,69.7,170.27,-12.35,2.59
Itacoatiara,40,BR,1970-01-01 00:00:01.556121600,74,-3.14,-58.44,30.0,2.6
Mogadishu,98,SO,1970-01-01 00:00:01.556125570,72,2.04,45.34,28.85,4.68
Tuy Hoa,40,VN,1970-01-01 00:00:01.556125377,94,13.08,109.3,23.35,0.64
Dehloran,0,IR,1970-01-01 00:00:01.556125665,32,32.69,47.27,15.05,1.45
Iqaluit,75,CA,1970-01-01 00:00:01.556125371,71,63.75,-68.52,-13.0,2.6
Khatanga,99,RU,1970-01-01 00:00:01.556125665,89,71.98,102.47,-15.75,8.69
Tuktoyaktuk,40,CA,1970-01-01 00:00:01.556121600,77,69.44,-133.03,-15.0,5.1
Inhambane,75,MZ,1970-01-01 00:00:01.556121600,94,-23.87,35.38,25.0,1.5
Torbay,90,CA,1970-01-01 00:00:01.556125409,100,47.66,-52.73,0.56,8.7
Podgornoye,98,RU,1970-01-01 00:00:01.556125667,81,57.79,82.64,2.95,3.22
Ponta do Sol,70,BR,1970-01-01 00:00:01.556125667,72,-20.63,-46.0,24.75,3.03
Punta Arenas,20,CL,1970-01-01 00:00:01.556125396,54,-53.16,-70.91,12.78,10.3
Saint-Augustin,0,FR,1970-01-01 00:00:01.556125570,48,44.83,-0.61,17.0,7.2
Campbell River,5,CA,1970-01-01 00:00:01.556125221,40,50.02,-125.24,9.44,7.2
Puerto Ayora,40,EC,1970-01-01 00:00:01.556125297,83,-0.74,-90.35,28.0,4.6
Champerico,5,MX,1970-01-01 00:00:01.556120580,31,16.38,-93.6,31.0,2.1
Hobart,75,AU,1970-01-01 00:00:01.556125641,44,-42.88,147.33,15.0,4.6
Castro,0,CL,1970-01-01 00:00:01.556121600,54,-42.48,-73.76,14.0,5.1
Fuling,18,CN,1970-01-01 00:00:01.556125671,56,29.71,107.39,25.05,1.0
Aswan,0,EG,1970-01-01 00:00:01.556121600,6,24.09,32.9,35.0,5.1
Palmer,20,US,1970-01-01 00:00:01.556125635,80,61.6,-149.11,1.11,0.68
Atuona,0,PF,1970-01-01 00:00:01.556125545,78,-9.8,-139.03,28.15,6.49
Katsuura,75,JP,1970-01-01 00:00:01.556123882,100,33.93,134.5,18.0,2.1
Temerloh,72,MY,1970-01-01 00:00:01.556125673,91,3.45,102.42,24.55,0.4
Pisco,0,PE,1970-01-01 00:00:01.556125272,30,-13.71,-76.2,25.56,4.1
Rawson,53,AR,1970-01-01 00:00:01.556125674,43,-43.3,-65.11,18.55,8.24
Yar-Sale,100,RU,1970-01-01 00:00:01.556125674,93,66.83,70.83,-11.15,1.16
Kamenka,0,RU,1970-01-01 00:00:01.556125675,60,53.19,44.05,13.35,3.18
East London,75,ZA,1970-01-01 00:00:01.556121600,88,-33.02,27.91,18.0,1.0
Siocon,56,PH,1970-01-01 00:00:01.556125675,77,11.03,124.04,25.65,2.73
Aksarka,100,RU,1970-01-01 00:00:01.556125676,92,66.56,67.8,-12.15,2.45
Port Elizabeth,17,US,1970-01-01 00:00:01.556125660,37,39.31,-74.98,23.33,5.1
Hithadhoo,27,MV,1970-01-01 00:00:01.556125677,79,-0.6,73.08,29.65,6.43
Albina,99,GF,1970-01-01 00:00:01.556125677,87,5.5,-54.06,28.05,1.73
Launceston,47,AU,1970-01-01 00:00:01.556125566,81,-41.43,147.14,13.89,7.7
Ballina,90,IE,1970-01-01 00:00:01.556125384,93,54.11,-9.15,12.78,4.1
Airai,61,TL,1970-01-01 00:00:01.556125678,70,-8.93,125.41,24.35,3.47
Chalmeca,40,NI,1970-01-01 00:00:01.556121600,66,12.13,-84.1,30.0,2.1
Dongsheng,71,CN,1970-01-01 00:00:01.556125678,60,29.72,112.52,24.05,1.54
Barrow,21,AR,1970-01-01 00:00:01.556125679,42,-38.31,-60.23,21.35,2.96
Itarema,88,BR,1970-01-01 00:00:01.556125679,84,-2.92,-39.92,28.85,3.1
Cabo San Lucas,20,MX,1970-01-01 00:00:01.556125282,77,22.89,-109.91,27.78,2.1
Klaksvik,1,FO,1970-01-01 00:00:01.556124600,66,62.23,-6.59,11.0,11.3
Kodiak,90,US,1970-01-01 00:00:01.556125625,77,39.95,-94.76,17.0,1.32
Homer,1,US,1970-01-01 00:00:01.556125606,47,59.64,-151.54,3.89,2.6
Tuatapere,100,NZ,1970-01-01 00:00:01.556125206,95,-46.13,167.69,10.0,4.99
Vanavara,36,RU,1970-01-01 00:00:01.556125681,90,60.35,102.28,-1.05,2.39
Busselton,0,AU,1970-01-01 00:00:01.556125533,45,-33.64,115.35,16.67,6.98
Isangel,22,VU,1970-01-01 00:00:01.556125682,81,-19.55,169.27,26.05,6.86
Xining,79,CN,1970-01-01 00:00:01.556125683,30,36.62,101.77,9.35,1.76
Arraial do Cabo,20,BR,1970-01-01 00:00:01.556125200,78,-22.97,-42.02,31.0,6.2
Nantucket,90,US,1970-01-01 00:00:01.556125624,63,41.28,-70.1,20.0,4.6
Geraldton,90,CA,1970-01-01 00:00:01.556122620,69,49.72,-86.95,3.0,3.6
Arman,100,RU,1970-01-01 00:00:01.556125684,92,59.7,150.17,-3.95,1.23
Kruisfontein,100,ZA,1970-01-01 00:00:01.556125684,95,-34.0,24.73,16.85,2.21
Santa Maria,20,BR,1970-01-01 00:00:01.556121600,69,-29.69,-53.81,27.0,2.6
Norman Wells,40,CA,1970-01-01 00:00:01.556121600,79,65.28,-126.83,-4.0,6.2
Bredasdorp,33,ZA,1970-01-01 00:00:01.556125297,82,-34.53,20.04,19.0,4.1
Cuamba,92,MZ,1970-01-01 00:00:01.556125686,73,-14.8,36.54,21.75,3.02
Port Lincoln,53,AU,1970-01-01 00:00:01.556125623,72,-34.72,135.86,17.55,3.29
Butaritari,99,KI,1970-01-01 00:00:01.556125687,81,3.07,172.79,28.45,8.6
Yellowknife,90,CA,1970-01-01 00:00:01.556122620,92,62.45,-114.38,-3.0,4.1
Chumikan,68,RU,1970-01-01 00:00:01.556125687,82,54.72,135.31,-5.95,3.06
Sisimiut,97,GL,1970-01-01 00:00:01.556125639,85,66.94,-53.67,-12.05,8.78
Afsin,92,TR,1970-01-01 00:00:01.556125687,70,38.25,36.91,3.25,2.3
Port Alfred,85,ZA,1970-01-01 00:00:01.556125614,94,-33.59,26.89,17.22,1.73
Solnechnyy,100,RU,1970-01-01 00:00:01.556125688,93,50.72,136.64,-1.85,5.98
Chara,20,GR,1970-01-01 00:00:01.556125402,67,39.42,22.43,18.0,4.6
San Patricio,100,PY,1970-01-01 00:00:01.556125689,76,-26.98,-56.83,28.15,1.72
Sabha,1,LY,1970-01-01 00:00:01.556125690,12,27.03,14.43,34.65,4.63
